,id,subject,grade_level,topic,student_input,tutor_response,data_type,intent
1608,hw_00092,biología,medio,conceptos básicos de genética,Mañana tengo un examen sobre conceptos básicos de genética. ¡Ayúdenme a estudiar!,"¡Con mucho gusto te ayudaré con los conceptos básicos de genética! Permíteme explicarte los pasos. Primero, te explicaré qué significan los conceptos básicos de genética y por qué son importantes en biología. Luego, podemos trabajar juntos con algunos ejemplos. ¿Con qué parte específica te gustaría empezar?",ayuda con las tareas
4117,conv_06693,biología,medio,ecosistemas,Ayúdame a estudiar para mi examen. ¿Qué es importante saber sobre los ecosistemas?,Lo más importante de los ecosistemas es cómo se conectan con otras partes de la vida y la naturaleza.,conversación
3638,conv_05207,biología,medio,fotosíntesis,No entiendo este tema. ¿Qué es importante saber sobre la fotosíntesis?,Lo más importante de la fotosíntesis es cómo se conecta con otras partes de la vida y la naturaleza.,conversación
3001,hw_09458,química,alto,enlace químico,Tengo dificultades con el tema de los enlaces químicos en mis tareas.,"¡Con gusto te ayudaré con el tema de los enlaces químicos! Permíteme explicarlo paso a paso. Primero, te explicaré qué significa enlace químico y por qué es importante en química. Luego, podemos trabajar juntos con algunos ejemplos. ¿Con qué parte específica te gustaría empezar?",ayuda con las tareas
2750,conv_10223,física,medio,fuerzas y movimiento,Ayúdame a estudiar para mi examen. ¿Cómo afecta la fricción al movimiento?,La fricción es una fuerza que se opone al movimiento. Puede ralentizar los objetos o impedir que se muevan.,conversación
2727,conv_09776,química,elemental,materiales de mezcla,No entiendo este tema. ¿Por qué algunas cosas se disuelven y otras no?,"Las cosas se disuelven según el dicho ""lo semejante disuelve a lo semejante"": las sustancias similares tienden a mezclarse.",conversación
2754,qa_03073,química,elemental,cambios en los materiales,¿En qué consisten los cambios en los materiales?,Los cambios en los materiales tienen que ver con las interacciones entre diferentes tipos de materia y energía.,control_directo
3569,hw_12242,biología,alto,patrones de herencia,Mi tarea trata sobre patrones de herencia. No lo entiendo.,"¡Con mucho gusto te ayudaré con los patrones de herencia! Permíteme explicarte paso a paso. Primero, te explicaré qué significan los patrones de herencia y por qué son importantes en biología. Luego, podemos analizar algunos ejemplos juntos. ¿Con qué parte específica te gustaría empezar?",ayuda con las tareas
1592,hw_08851,química,medio,cambios químicos,¿Podrías ayudarme con los cálculos de cambios químicos?,"¡Con gusto te ayudaré con los cambios químicos! Permíteme explicarte paso a paso. Primero, te explicaré qué significan los cambios químicos y por qué son importantes en química. Luego, podemos trabajar juntos con algunos ejemplos. ¿Con qué parte específica te gustaría empezar?",ayuda con las tareas
2004,conv_01241,biología,alto,respiración celular,"¡Hola, tutor! ¿Por qué es importante la respiración celular en biología?",La respiración celular es importante porque nos ayuda a comprender la vida y cómo sobreviven los seres vivos.,conversación
1778,qa_09000,química,elemental,productos químicos cotidianos,¿Qué son exactamente los productos químicos de uso cotidiano?,La química cotidiana se basa en las interacciones entre diferentes tipos de materia y energía.,control_directo
1908,conv_08044,física,elemental,flotando y hundiéndose,No entiendo este tema. ¿Podrías explicarme qué es flotar y hundirse?,¡Flotar y hundirse es un concepto interesante de la física que nos ayuda a comprender cómo funcionan las cosas en nuestro mundo!,conversación
4273,qa_07131,física,alto,electromagnetismo,¿Podrías explicarme qué es el electromagnetismo?,El electromagnetismo es un concepto interesante de la física que nos ayuda a comprender cómo funcionan las cosas en nuestro mundo.,control_directo
3762,conv_05414,biología,alto,mitosis y meiosis,No entiendo este tema. ¿Podrías explicarme qué son la mitosis y la meiosis?,¡La mitosis y la meiosis son una parte fascinante de la biología! Nos ayudan a comprender cómo funcionan los seres vivos.,conversación
